id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
111.0	2.3	2009.263947	42.34411	13.38698	7.748	125.0	65.0	-80.0	-159000.0	182900.0	-678300.0	-3623000.0	757300.0	-5589000.0
112.0	2.0	2009.263949	42.32613	13.41338	7.396	360.0	90.0	-70.0	-568900.0	158400.0	-1259000.0	-2673000.0	-119400.0	-5557000.0
113.0	2.1	2009.263955	42.36169	13.36346	8.387	140.0	60.0	-110.0	-1670000.0	-4810000.0	3918000.0	-4100000.0	1084000.0	10790000.0
114.0	1.8	2009.264022	42.28384	13.48727	5.266	360.0	40.0	-160.0	1342000.0	534500.0	814500.0	1065000.0	66630.0	66080.0
115.0	2.8	2009.26403	42.33504	13.40945	6.575	160.0	60.0	-75.0	693800.0	490200.0	1613000.0	-2240000.0	1441000.0	-1759000.0
116.0	1.8	2009.264056	42.34101	13.41645	5.333	145.0	70.0	-40.0	989000.0	272400.0	972600.0	-1476000.0	1238000.0	-1763000.0
117.0	1.5	2009.264061	42.31786	13.41513	7.675	60.0	90.0	80.0	-929900.0	-559900.0	-982200.0	-3014000.0	-462400.0	-2654000.0
118.0	2.7	2009.264109	42.40185	13.32206	7.858	135.0	50.0	-100.0	103600.0	154000.0	-31940.0	424500.0	-159100.0	-217800.0
119.0	2.4	2009.264132	42.29514	13.45361	8.467	5.0	45.0	-70.0	-451300.0	-1671000.0	-2403000.0	-5239000.0	-1002000.0	-2023000.0
120.0	1.8	2009.264141	42.37785	13.36163	7.343	125.0	65.0	-120.0	-263600.0	455800.0	-143200.0	1737000.0	-764700.0	-1143000.0
121.0	2.0	2009.264194	42.39926	13.43692	0.656	160.0	75.0	0.0	-1235000.0	-1862000.0	762500.0	-955300.0	572900.0	1173000.0
122.0	1.2	2009.264221	42.37708	13.36304	7.653	125.0	70.0	-130.0	-575000.0	-167000.0	801500.0	503900.0	-186000.0	-865600.0
123.0	1.4	2009.264242	42.37076	13.36301	7.83	125.0	70.0	-150.0	-619300.0	-2361000.0	2949000.0	-551300.0	-252000.0	5361000.0
124.0	3.59	2009.264259	42.45258	13.42497	7.753	335.0	35.0	-85.0	-47070.0	78530.0	56160.0	194000.0	6383.0	54630.0
125.0	1.9	2009.264273	42.36636	13.37758	6.979	125.0	65.0	-80.0	-5188000.0	-4802000.0	3686000.0	-3826000.0	-23870.0	7511000.0
